ack,,2.437
ack-simple-e,2,2.489
ack-simple,,2.432
dao2-e,10,2.862
dao-e,1,2.692
dao,1,2.627
dao-various,10,3.032
escape2-e,1,2.657
escape-e,1,2.651
escape,,2.563
factorial,,2.175
mc91-e,1,2.430
mc91,1,2.241
mult-e,2,2.401
mult,2,2.656
succ-e,1,2.762
succ,1,2.516
